binder_name,binder_evolution_type,binder_target,binder_experiment,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture K562 CD19 OE,coculture K562 CD22 OE,coculture Raji,coculture Raji CD19 OE,coculture Raji CD19 KO,coculture RPMI 8226,coculture Nalm6,coculture Nalm6 CD22 OE,coculture DG-75,coculture Ramos,coculture SET-2,coculture U937,coculture A549,coculture Hela,coculture MDA-MB-468
CD19_l115_nonint_4002,non-interface,CD19,CD19_l115,2.98,6.43,28.4,91.5,97.7,53.9,52,,71.1,,83.8,,80.7,,,,63.4,55.3,,,,,
CD19_l115_nonint_3533,non-interface,CD19,CD19_l115,2.43,1.99,8.48,93.1,99,15.6,15.4,,22.8,,28.6,,24.7,,,,15.9,16.3,,,,,
CD19_l115_nonint_1314,non-interface,CD19,CD19_l115,1.79,1.85,4.88,80.9,98.2,15,15,,22.5,,26.6,,22.5,,,,17.5,15.9,,,,,
CD19_l115_int_1249,interface,CD19,CD19_l115,1.71,2,1.8,2.5,10.1,1.63,2.1,,19.5,,26.1,,23.7,,,,3.68,1.79,,,,,
CD19_l115_int_3971,interface,CD19,CD19_l115,1.93,1.85,2.04,1.61,4.66,0.76,1.24,,7.71,,12.6,,11.8,,,,1.78,1.01,,,,,
CD19_l115_int_4304,interface,CD19,CD19_l115,1.75,1.74,3.21,2.05,6.83,1.18,2.22,,11.7,,19.4,,17.2,,,,2.86,1.51,,,,,
CD19_l115_nonint_2376,non-interface,CD19,CD19_l115,2.29,3.08,26.9,91.8,98,39.5,34.7,,51.5,,57.9,,51.9,,,,54.2,39.9,,,,,
CD19_l115_int_4516,interface,CD19,CD19_l115,1.69,1.91,1.41,1.8,4.69,1.67,1.91,,6.28,,9.18,,7.44,,,,2.07,1.46,,,,,
CD19_l115_int_0362,interface,CD19,CD19_l115,1.9,3.36,1.5,2.85,4.06,1.1,12.4,,58,,78.4,,77.3,,,,14.5,10.9,,,,,
CD19_l115_nonint_0190,non-interface,CD19,CD19_l115,2.28,1.82,3.03,41.5,91.5,36.5,31.9,,37.3,,42,,37.8,,,,39.2,34.3,,,,,
CD19_l115_int_1328,interface,CD19,CD19_l115,3.67,1.62,1.92,1.58,4.03,0.76,1.15,,9.44,,13.5,,12.1,,,,2.44,0.76,,,,,
CD19_l115_int_3770,interface,CD19,CD19_l115,2.11,1.64,1.87,2.46,6.37,57.3,78.7,,92.1,,95.3,,95.1,,,,86.7,88,,,,,
