"binder_id","BCMA_1000_R1","BCMA_1000_R2","BCMA_100_R1","BCMA_100_R2","BCMA_parental_R1","BCMA_parental_R2","BCMA_parental_mean","BCMA_1000_mean","BCMA_100_mean","is_selected"
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i11_93_dldesign_0",16.2948,7.6401,36.058,26.9851,1745.14,1414.31,1579.725,11.96745,31.52155,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i12_27_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i12_31_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i12_68_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i12_93_dldesign_0",50.7976,66.2431,82.0673,85.6748,602.634,659.865,631.2495,58.52035,83.87105,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i12_94_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i15_16_dldesign_0",5356.58,9880.76,805.473,783.092,3887.07,3702.48,3794.775,7618.67,794.2825,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i15_71_dldesign_0",0.0613835,0.063308,2.82337,3.20087,123.616,88.0111,105.81355,0.06234575,3.01212,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i18_58_dldesign_0",9.52417,15.7914,0,2.62606,356.549,374.655,365.602,12.657785,1.31303,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i18_82_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i19_60_dldesign_0",0,0,0,0,0,0.647851,0.3239255,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i19_6_dldesign_0",101.005,49.444,258.105,214.242,9784.55,6872.24,8328.395,75.2245,236.1735,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i19_96_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i1_28_dldesign_0",0,0,0,0,0.367747,0,0.1838735,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i1_98_dldesign_0",703.472,460.4,1796.54,1391.8,21000,18307.4,19653.7,581.936,1594.17,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i20_8_dldesign_0",1.48889,0,0,0,803.536,681.987,742.7615,0.744445,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i20_94_dldesign_0",0,0,0,0,0,0.0656584,0.0328292,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i2_90_dldesign_0",105.471,84.8687,223.851,195.598,17684.9,16699.7,17192.3,95.16985,209.7245,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i3_11_dldesign_0",9.56359,6.50327,2.59273,2.76353,202.92,115.232,159.076,8.03343,2.67813,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i3_22_dldesign_0",9.9641,6.05735,46.3112,34.482,1585.9,943.248,1264.574,8.010725,40.3966,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i3_41_dldesign_0",803.003,633.725,2057.39,1602.47,30659.8,27912.5,29286.15,718.364,1829.93,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i3_5_dldesign_0",90.8846,62.0803,354.176,299.308,2640.61,2321.07,2480.84,76.48245,326.742,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i4_12_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i4_67_dldesign_0",123.973,131.386,456.233,422.305,9137.85,10855.7,9996.775,127.6795,439.269,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i5_21_dldesign_0",34.8209,27.9274,96.9635,89.3594,5200.58,4799.51,5000.045,31.37415,93.16145,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i5_69_dldesign_0",2350.35,2842.93,1951.41,1605.99,23407.8,30041.4,26724.6,2596.64,1778.7,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i6_2_dldesign_0",901.93,890.903,503.116,453.533,2174.04,1585.27,1879.655,896.4165,478.3245,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i7_38_dldesign_0",23.7389,50.1071,62.3829,55.5475,860.754,1370.4,1115.577,36.923,58.9652,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i8_26_dldesign_0",243.404,185.269,5.7491,3.60451,50.6199,30.1987,40.4093,214.3365,4.676805,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i9_46_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i9_90_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
