"binder_id","BCMA_M100.CD22_1","BCMA_M100.CD22_2","BCMA_M1000_1","BCMA_M1000_2","BCMA_M100_1","BCMA_M100_2","BCMA_M500_1","BCMA_Parental_1","BCMA_Parental_2","BCMA_parental_mean","BCMA_M1000_mean","BCMA_M500_mean","BCMA_M100_mean","is_selected","BCMA_parental_occupancy","logFC_100","logFC_1000","under_fc100_bcma_binders"
"BCMA_l52_s913863_mpnn1",3893.35,0,59.7377,64.85,0.329644,0.186895,14.5621,11737,11513.6,11625.3,62.29385,14.5621,0.2582695,FALSE,0.0116252987299361,-15.4580311406923,-7.54396249194891,FALSE
"BCMA_l52_s971981_mpnn2",2780.96,2928.08,133.854,140.467,71.6265,71.6181,250.989,31263.9,32227.5,31745.7,137.1605,250.989,71.6223,FALSE,0.0317456965317827,-8.79193662616615,-7.85455231126271,FALSE
"BCMA_l52_s971981_mpnn6",1112.38,488.013,6.03214,5.34929,0.565472,0.336411,6.37319,14260.2,14409.1,14334.65,5.690715,6.37319,0.4509415,FALSE,0.0143346484339397,-14.9562068672393,-11.2986091303616,FALSE
"BCMA_l53_s202423_mpnn3",3688.43,1852,294.822,290.795,0.383146,0.457603,238.927,11229.3,11160.7,11195,292.8085,238.927,0.4203745,FALSE,0.0111949987769464,-14.7008198448385,-5.25675328343531,FALSE
"BCMA_l53_s445237_mpnn1",3688.43,4167,169.057,168.959,0.0957866,0.419469,11.6565,20574.8,20568.6,20571.7,169.008,11.6565,0.2576278,FALSE,0.020571697752542,-16.2850132147427,-6.92742567155858,FALSE
"BCMA_l53_s445237_mpnn2",526.919,0,0.100212,0,0.335253,0.381336,0,7920.43,7945.99,7933.21,0.050106,0,0.3582945,FALSE,0.0079332091332969,-14.4344712209949,-17.272561842585,FALSE
"BCMA_l53_s46576_mpnn14",3161.51,5556.01,413.272,389.526,0.957866,1.10587,554.652,41738.7,42751.1,42244.9,401.399,554.652,1.031868,FALSE,0.0422448953847452,-15.3212311344312,-6.71759635031625,FALSE
"BCMA_l53_s847868_mpnn2",75876.3,53708.1,65840,67903.5,129422,122027,65710.8,18197.9,18335,18266.45,66871.75,65710.8,125724.5,TRUE,0.0182664480043906,2.78299763068554,1.87220059231061,FALSE
"BCMA_l53_s977918_mpnn1",6849.95,6482.01,4342.01,4287.53,130.131,107.616,3433.84,10329.1,10396.2,10362.65,4314.77,3433.84,118.8735,FALSE,0.0103626488678806,-6.44582203812973,-1.26403742166112,FALSE
"BCMA_l53_s977918_mpnn2",12119.1,15742,14615.5,13650.7,3755.69,3699.26,10622.2,25057.1,25241.3,25149.2,14133.1,10622.2,3727.475,FALSE,0.0251491972524502,-2.75424192683915,-0.831434562612779,FALSE
