cytokine,construct,target,rep1,rep2,rep3,donor
IL-2,NB,K BCMA mC,25.1465,27.03,37.3605,3
IL-2,NB,Raji,38.115,9.3595,15.741,3
IL-2,NB,RPMI mC,0,0,0,3
IL-2,Abecma,CAR alone,0,0,0,3
IL-2,Abecma,K562 mC,0,13.1115,0,3
IL-2,Abecma,K BCMA mC,1666.3725,1614.496,1593.671,3
IL-2,Abecma,Raji,532.4885,544.1025,551.9735,3
IL-2,Abecma,RPMI mC,585.9095,602.8045,584.7625,3
IL-2,B2,CAR alone,0,0,0,3
IL-2,B2,K562 mC,0,0,3.6715,3
IL-2,B2,K BCMA mC,1135.4025,1189.1765,1151.8175,3
IL-2,B2,Raji,15.4405,17.9965,34.72,3
IL-2,B2,RPMI mC,127.2335,129.814,127.3095,3
IL-2,B5,CAR alone,0,0,0,3
IL-2,B5,K562 mC,0,0,0,3
IL-2,B5,K BCMA mC,1658.763,1719.565,1870.1215,3
IL-2,B5,Raji,232.0445,227.8595,254.4235,3
IL-2,B5,RPMI mC,323.5195,361.336,383.074,3
GranzymeB,UTD,CAR alone,160.841,113.912,153.856,3
GranzymeB,UTD,K562 mC,151.865,0,112.937,3
GranzymeB,UTD,K BCMA mC,110.501,0,151.367,3
GranzymeB,UTD,Raji ,113.912,0,122.714,3
GranzymeB,UTD,RPMI mC,117.329,114.4,144.412,3
GranzymeB,NB,CAR alone,115.376,109.528,138.47,3
GranzymeB,NB,K562 mC,142.925,120.754,117.329,3
GranzymeB,NB,K BCMA mC,0,144.412,112.937,3
GranzymeB,NB,Raji ,146.894,147.39,130.575,3
GranzymeB,NB,RPMI mC,135.012,109.042,105.642,3
GranzymeB,Abecma,CAR alone,0,0,153.856,3
GranzymeB,Abecma,K562 mC,112.937,0,161.341,3
GranzymeB,Abecma,K BCMA mC,2899.595,2941.5,2898.266,3
GranzymeB,Abecma,Raji ,607.448,624.652,603.569,3
GranzymeB,Abecma,RPMI mC,3911.364,3244.975,3949.896,3
GranzymeB,B2,CAR alone,104.187,0,0,3
GranzymeB,B2,K562 mC,135.506,0,109.528,3
GranzymeB,B2,K BCMA mC,769.406,741.706,691.639,3
GranzymeB,B2,Raji ,133.532,126.149,119.285,3
GranzymeB,B2,RPMI mC,911.001,757.523,781.306,3
GranzymeB,B5,CAR alone,0,107.584,119.775,3
GranzymeB,B5,K562 mC,0,136.988,101.282,3
GranzymeB,B5,K BCMA mC,1742.51,1787.713,1653.773,3
GranzymeB,B5,Raji ,350.233,288.199,271.024,3
GranzymeB,B5,RPMI mC,2080.28,2430.847,2302.013,3
